model,image,threshold,tp,fp,fn,gt_pixels,pred_pixels,instances,iou,seconds
packaged,CFD_088.jpg,0.1,2385,16083,0,2385,18468,6,0.12914230019493178,0.06911420799588086
packaged,CFD_088.jpg,0.25,1822,913,563,2385,2735,3,0.5524560339599758,0.06911420799588086
packaged,CFD_088.jpg,0.5,295,130,2090,2385,425,1,0.1172962226640159,0.06911420799588086
packaged,CRACK500_20160222_164141_1_1081.jpg,0.1,5388,1394,2342,7730,6782,2,0.5905304690925033,0.06076724999729777
packaged,CRACK500_20160222_164141_1_1081.jpg,0.25,5388,1394,2342,7730,6782,2,0.5905304690925033,0.06076724999729777
packaged,CRACK500_20160222_164141_1_1081.jpg,0.5,0,0,7730,7730,0,0,0.0,0.06076724999729777
packaged,CRACK500_20160222_164822_641_361.jpg,0.1,4779,705,329,5108,5484,2,0.8221228281438155,0.062265540997032076
packaged,CRACK500_20160222_164822_641_361.jpg,0.25,4767,641,341,5108,5408,1,0.8291876848147504,0.062265540997032076
packaged,CRACK500_20160222_164822_641_361.jpg,0.5,4767,641,341,5108,5408,1,0.8291876848147504,0.062265540997032076
packaged,CRACK500_20160222_165218_641_1.jpg,0.1,1066,212,879,1945,1278,4,0.49420491423273066,0.06260158400255023
packaged,CRACK500_20160222_165218_641_1.jpg,0.25,0,0,1945,1945,0,0,0.0,0.06260158400255023
packaged,CRACK500_20160222_165218_641_1.jpg,0.5,0,0,1945,1945,0,0,0.0,0.06260158400255023
packaged,CRACK500_20160222_165256_641_1.jpg,0.1,1007,354,669,1676,1361,2,0.4960591133004926,0.06309350000083214
packaged,CRACK500_20160222_165256_641_1.jpg,0.25,625,238,1051,1676,863,1,0.3265412748171369,0.06309350000083214
packaged,CRACK500_20160222_165256_641_1.jpg,0.5,625,238,1051,1676,863,1,0.3265412748171369,0.06309350000083214
packaged,CRACK500_20160302_155925_641_361.jpg,0.1,1273,1045,129,1402,2318,2,0.5202288516550878,0.06089133299974492
packaged,CRACK500_20160302_155925_641_361.jpg,0.25,1273,1045,129,1402,2318,2,0.5202288516550878,0.06089133299974492
packaged,CRACK500_20160302_155925_641_361.jpg,0.5,1273,1045,129,1402,2318,2,0.5202288516550878,0.06089133299974492
packaged,CRACK500_20160303_092806_1_721.jpg,0.1,1782,761,177,1959,2543,1,0.6551470588235294,0.06234787499852246
packaged,CRACK500_20160303_092806_1_721.jpg,0.25,1782,761,177,1959,2543,1,0.6551470588235294,0.06234787499852246
packaged,CRACK500_20160303_092806_1_721.jpg,0.5,1782,761,177,1959,2543,1,0.6551470588235294,0.06234787499852246
packaged,CRACK500_20160306_104522_641_721.jpg,0.1,12316,590,965,13281,12906,1,0.8878956095450941,0.06243837499641813
packaged,CRACK500_20160306_104522_641_721.jpg,0.25,12316,590,965,13281,12906,1,0.8878956095450941,0.06243837499641813
packaged,CRACK500_20160306_104522_641_721.jpg,0.5,12316,590,965,13281,12906,1,0.8878956095450941,0.06243837499641813
packaged,CRACK500_20160307_145259_1_361.jpg,0.1,18821,2013,1333,20154,20834,1,0.8490549014300537,0.05986762500106124
packaged,CRACK500_20160307_145259_1_361.jpg,0.25,18821,2013,1333,20154,20834,1,0.8490549014300537,0.05986762500106124
packaged,CRACK500_20160307_145259_1_361.jpg,0.5,18821,2013,1333,20154,20834,1,0.8490549014300537,0.05986762500106124
packaged,CRACK500_20160307_163641_1921_361.jpg,0.1,6164,2130,3664,9828,8294,1,0.5154708145174779,0.060921207994397264
packaged,CRACK500_20160307_163641_1921_361.jpg,0.25,6164,2130,3664,9828,8294,1,0.5154708145174779,0.060921207994397264
