model,image,imgsz,instances,cracks,potholes,inference_ms
packaged,China_Drone_000827.jpg,448,2,2,0,58.41483300173422
packaged,China_Drone_000878.jpg,448,0,0,0,57.49225000181468
packaged,China_Drone_001033.jpg,448,0,0,0,56.884541001636535
packaged,China_Drone_001118.jpg,448,1,1,0,58.21541700424859
packaged,China_MotorBike_000433.jpg,448,1,1,0,59.929625000222586
packaged,China_MotorBike_000574.jpg,448,0,0,0,56.424916998366825
packaged,China_MotorBike_000796.jpg,448,0,0,0,57.08695800421992
packaged,China_MotorBike_001024.jpg,448,0,0,0,54.90129099780461
packaged,China_MotorBike_001727.jpg,448,0,0,0,55.274457998166326
packaged,India_001046.jpg,448,0,0,0,55.74933300522389
packaged,India_002522.jpg,448,0,0,0,57.91645799763501
packaged,India_002644.jpg,448,0,0,0,55.46974999742815
packaged,India_002981.jpg,448,0,0,0,57.089166999503504
packaged,India_003901.jpg,448,0,0,0,55.743541997799184
packaged,India_005005.jpg,448,1,1,0,57.25554100354202
packaged,India_008195.jpg,448,1,1,0,57.97633399924962
packaged,Japan_005907.jpg,448,1,1,0,57.54829099896597
packaged,Japan_005998.jpg,448,0,0,0,57.608208000601735
packaged,Japan_009916.jpg,448,0,0,0,57.741541997529566
packaged,Japan_011731.jpg,448,1,1,0,57.00062499818159
packaged,Japan_011738.jpg,448,0,0,0,57.500792005157564
packaged,Japan_012484.jpg,448,3,3,0,58.17574999673525
packaged,Norway_000943.jpg,448,0,0,0,58.10987499717157
packaged,Norway_001839.jpg,448,0,0,0,55.72116599796573
packaged,Norway_004850.jpg,448,1,1,0,55.77870799606899
packaged,Norway_005864.jpg,448,0,0,0,56.75224999868078
packaged,Norway_007782.jpg,448,1,1,0,58.96937500074273
packaged,United_States_000495.jpg,448,0,0,0,56.36770799901569
packaged,United_States_000902.jpg,448,0,0,0,55.370209003740456
packaged,United_States_001437.jpg,448,0,0,0,56.53662500117207
packaged,United_States_001557.jpg,448,1,1,0,55.03416700230446
packaged,United_States_001599.jpg,448,0,0,0,56.987625001056585
packaged,China_Drone_000827.jpg,736,6,6,0,152.38154200051213
packaged,China_Drone_000878.jpg,736,1,1,0,126.80574999831151
packaged,China_Drone_001033.jpg,736,0,0,0,131.8539160056389
packaged,China_Drone_001118.jpg,736,1,1,0,118.45370799710508
packaged,China_MotorBike_000433.jpg,736,2,2,0,126.41016700217733
packaged,China_MotorBike_000574.jpg,736,2,2,0,124.3178330041701
packaged,China_MotorBike_000796.jpg,736,0,0,0,132.32099999731872
packaged,China_MotorBike_001024.jpg,736,0,0,0,123.78575000184355
packaged,China_MotorBike_001727.jpg,736,0,0,0,116.39287500292994
packaged,India_001046.jpg,736,0,0,0,120.82020800153259
packaged,India_002522.jpg,736,2,2,0,116.77070899895625
packaged,India_002644.jpg,736,0,0,0,117.3162500053877
packaged,India_002981.jpg,736,0,0,0,119.18891700042877
packaged,India_003901.jpg,736,2,2,0,122.54725000093458
packaged,India_005005.jpg,736,0,0,0,116.06983299861895
packaged,India_008195.jpg,736,0,0,0,116.44170799991116
packaged,Japan_005907.jpg,736,1,1,0,120.88333300198428
packaged,Japan_005998.jpg,736,1,1,0,126.66195799829438
packaged,Japan_009916.jpg,736,3,3,0,120.44129199784948
packaged,Japan_011731.jpg,736,1,1,0,119.04549999599112
packaged,Japan_011738.jpg,736,0,0,0,124.03491699660663
packaged,Japan_012484.jpg,736,1,1,0,141.23520900466247
packaged,Norway_000943.jpg,736,1,1,0,132.48745799501194
packaged,Norway_001839.jpg,736,0,0,0,118.60737499955576
packaged,Norway_004850.jpg,736,1,1,0,119.490750003024
packaged,Norway_005864.jpg,736,1,1,0,123.61433300247882
packaged,Norway_007782.jpg,736,1,1,0,119.52358300186461
packaged,United_States_000495.jpg,736,0,0,0,115.01041599694872
packaged,United_States_000902.jpg,736,0,0,0,116.84899999818299
packaged,United_States_001437.jpg,736,1,1,0,118.59324999386445
packaged,United_States_001557.jpg,736,1,1,0,120.68666599952849
packaged,United_States_001599.jpg,736,1,1,0,118.95066600118298
local_epoch1,China_Drone_000827.jpg,448,0,0,0,54.795583004306536
local_epoch1,China_Drone_000878.jpg,448,1,1,0,53.67091699736193
local_epoch1,China_Drone_001033.jpg,448,0,0,0,54.18324999482138
local_epoch1,China_Drone_001118.jpg,448,0,0,0,57.51349999627564
local_epoch1,China_MotorBike_000433.jpg,448,0,0,0,72.65079199714819
local_epoch1,China_MotorBike_000574.jpg,448,0,0,0,64.68229200254427
local_epoch1,China_MotorBike_000796.jpg,448,0,0,0,60.8495420019608
local_epoch1,China_MotorBike_001024.jpg,448,0,0,0,60.24495800375007
local_epoch1,China_MotorBike_001727.jpg,448,0,0,0,60.24429100216366
local_epoch1,India_001046.jpg,448,0,0,0,58.35408299753908
local_epoch1,India_002522.jpg,448,1,1,0,58.6217910022242
